Key,Id,English(en),German(de)
"Txt_ScorePrefix",661649956864,"",""
"Txt_BallPrefix",661691899904,"",""
"Txt_GameOver",661700288512,"",""
"Txt_InsertCoin",661700288513,"",""
"Txt_InitialWelcome",661700288514,"",""
"Txt_BestScorePrefix",661700288515,"",""
"Txt_Tilt",661700288516,"",""
"Txt_TiltWarning",661700288517,"",""
"Txt_BonusHits",661700288518,"",""
"Txt_BonusBase",661700288519,"",""
"Txt_BonusMultiplier",661700288520,"",""
"Txt_TotalScore",661700288521,"",""
"Txt_NextBall",661700288522,"",""
"Txt_BallSaver",661700288523,"",""
"Txt_ExtraBall",661700288524,"",""
"Txt_NewBall",661700288525,"",""
"Txt_GameStart",661700288526,"",""
